county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",State House,49,DEM,Christina M. Kafkakis,631
Livingston,"City of Brighton, Precinct 1",State House,49,REP,Ann Bollin,603
Livingston,"City of Brighton, Precinct 1",State House,49,,Cast Votes,1234
Livingston,"City of Brighton, Precinct 1",State House,49,,Undervotes,65
Livingston,"City of Brighton, Precinct 1",State House,49,,Overvotes,1
Livingston,"City of Brighton, Precinct 1",State House,49,,Rejected,2
Livingston,"City of Brighton, Precinct 1",State House,49,,Unassigned,0
Livingston,"City of Brighton, Precinct 1",State House,49,,Absentee,631
Livingston,"City of Brighton, Precinct 1",State House,49,,Election,671
Livingston,"City of Brighton, Precinct 1",State House,49,,Total,1302
Livingston,"City of Brighton, Precinct 2",State House,49,DEM,Christina M. Kafkakis,444
Livingston,"City of Brighton, Precinct 2",State House,49,REP,Ann Bollin,493
Livingston,"City of Brighton, Precinct 2",State House,49,,Cast Votes,937
Livingston,"City of Brighton, Precinct 2",State House,49,,Undervotes,39
Livingston,"City of Brighton, Precinct 2",State House,49,,Overvotes,0
Livingston,"City of Brighton, Precinct 2",State House,49,,Rejected,1
Livingston,"City of Brighton, Precinct 2",State House,49,,Unassigned,0
Livingston,"City of Brighton, Precinct 2",State House,49,,Absentee,457
Livingston,"City of Brighton, Precinct 2",State House,49,,Election,520
Livingston,"City of Brighton, Precinct 2",State House,49,,Total,977
Livingston,"City of Brighton, Precinct 3",State House,49,DEM,Christina M. Kafkakis,583
Livingston,"City of Brighton, Precinct 3",State House,49,REP,Ann Bollin,597
Livingston,"City of Brighton, Precinct 3",State House,49,,Cast Votes,1180
Livingston,"City of Brighton, Precinct 3",State House,49,,Undervotes,61
Livingston,"City of Brighton, Precinct 3",State House,49,,Overvotes,0
Livingston,"City of Brighton, Precinct 3",State House,49,,Rejected,0
Livingston,"City of Brighton, Precinct 3",State House,49,,Unassigned,0
Livingston,"City of Brighton, Precinct 3",State House,49,,Absentee,600
Livingston,"City of Brighton, Precinct 3",State House,49,,Election,641
Livingston,"City of Brighton, Precinct 3",State House,49,,Total,1241
Livingston,"City of Brighton, Precinct 4",State House,49,DEM,Christina M. Kafkakis,427
Livingston,"City of Brighton, Precinct 4",State House,49,REP,Ann Bollin,522
Livingston,"City of Brighton, Precinct 4",State House,49,,Cast Votes,949
Livingston,"City of Brighton, Precinct 4",State House,49,,Undervotes,28
Livingston,"City of Brighton, Precinct 4",State House,49,,Overvotes,0
Livingston,"City of Brighton, Precinct 4",State House,49,,Rejected,0
Livingston,"City of Brighton, Precinct 4",State House,49,,Unassigned,0
Livingston,"City of Brighton, Precinct 4",State House,49,,Absentee,606
Livingston,"City of Brighton, Precinct 4",State House,49,,Election,371
Livingston,"City of Brighton, Precinct 4",State House,49,,Total,977
Livingston,"Brighton Charter Township,Precinct 1",State House,49,DEM,Christina M. Kafkakis,449
Livingston,"Brighton Charter Township,Precinct 1",State House,49,REP,Ann Bollin,863
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Cast Votes,1312
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Undervotes,41
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Rejected,2
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Absentee,672
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Election,683
Livingston,"Brighton Charter Township,Precinct 1",State House,49,,Total,1355
Livingston,"Brighton Charter Township,Precinct 2",State House,49,DEM,Christina M. Kafkakis,343
Livingston,"Brighton Charter Township,Precinct 2",State House,49,REP,Ann Bollin,702
Livingston,"Brighton Charter Township,Precinct 2",State House,49,,Cast Votes,1045
Livingston,"Brighton Charter Township,Precinct 2",State House,49,,Undervotes,42
