county,precinct,office,district,party,candidate,votes
Livingston,"City of Howell, Precinct 1",State House,50,DEM,Glen Miller,673
Livingston,"City of Howell, Precinct 1",State House,50,REP,Robert J. Bezotte,845
Livingston,"City of Howell, Precinct 1",State House,50,,Cast Votes,1518
Livingston,"City of Howell, Precinct 1",State House,50,,Undervotes,64
Livingston,"City of Howell, Precinct 1",State House,50,,Overvotes,0
Livingston,"City of Howell, Precinct 1",State House,50,,Rejected,2
Livingston,"City of Howell, Precinct 1",State House,50,,Unassigned,0
Livingston,"City of Howell, Precinct 1",State House,50,,Absentee,659
Livingston,"City of Howell, Precinct 1",State House,50,,Election,925
Livingston,"City of Howell, Precinct 1",State House,50,,Total,1584
Livingston,"City of Howell, Precinct 2",State House,50,DEM,Glen Miller,567
Livingston,"City of Howell, Precinct 2",State House,50,REP,Robert J. Bezotte,559
Livingston,"City of Howell, Precinct 2",State House,50,,Cast Votes,1126
Livingston,"City of Howell, Precinct 2",State House,50,,Undervotes,58
Livingston,"City of Howell, Precinct 2",State House,50,,Overvotes,0
Livingston,"City of Howell, Precinct 2",State House,50,,Rejected,3
Livingston,"City of Howell, Precinct 2",State House,50,,Unassigned,0
Livingston,"City of Howell, Precinct 2",State House,50,,Absentee,369
Livingston,"City of Howell, Precinct 2",State House,50,,Election,818
Livingston,"City of Howell, Precinct 2",State House,50,,Total,1187
Livingston,"City of Howell, Precinct 3",State House,50,DEM,Glen Miller,655
Livingston,"City of Howell, Precinct 3",State House,50,REP,Robert J. Bezotte,867
Livingston,"City of Howell, Precinct 3",State House,50,,Cast Votes,1522
Livingston,"City of Howell, Precinct 3",State House,50,,Undervotes,56
Livingston,"City of Howell, Precinct 3",State House,50,,Overvotes,0
Livingston,"City of Howell, Precinct 3",State House,50,,Rejected,2
Livingston,"City of Howell, Precinct 3",State House,50,,Unassigned,0
Livingston,"City of Howell, Precinct 3",State House,50,,Absentee,662
Livingston,"City of Howell, Precinct 3",State House,50,,Election,918
Livingston,"City of Howell, Precinct 3",State House,50,,Total,1580
Livingston,"Cohoctah Township, Precinct1",State House,50,DEM,Glen Miller,457
Livingston,"Cohoctah Township, Precinct1",State House,50,REP,Robert J. Bezotte,1334
Livingston,"Cohoctah Township, Precinct1",State House,50,,Cast Votes,1791
Livingston,"Cohoctah Township, Precinct1",State House,50,,Undervotes,68
Livingston,"Cohoctah Township, Precinct1",State House,50,,Overvotes,0
Livingston,"Cohoctah Township, Precinct1",State House,50,,Rejected,2
Livingston,"Cohoctah Township, Precinct1",State House,50,,Unassigned,0
Livingston,"Cohoctah Township, Precinct1",State House,50,,Absentee,682
Livingston,"Cohoctah Township, Precinct1",State House,50,,Election,1179
Livingston,"Cohoctah Township, Precinct1",State House,50,,Total,1861
Livingston,"Conway Township, Precinct 1",State House,50,DEM,Glen Miller,426
Livingston,"Conway Township, Precinct 1",State House,50,REP,Robert J. Bezotte,1370
Livingston,"Conway Township, Precinct 1",State House,50,,Cast Votes,1796
Livingston,"Conway Township, Precinct 1",State House,50,,Undervotes,76
Livingston,"Conway Township, Precinct 1",State House,50,,Overvotes,0
Livingston,"Conway Township, Precinct 1",State House,50,,Rejected,0
Livingston,"Conway Township, Precinct 1",State House,50,,Unassigned,0
Livingston,"Conway Township, Precinct 1",State House,50,,Absentee,580
Livingston,"Conway Township, Precinct 1",State House,50,,Election,1292
Livingston,"Conway Township, Precinct 1",State House,50,,Total,1872
Livingston,"Deerfield Township, Precinct 1",State House,50,DEM,Glen Miller,341
Livingston,"Deerfield Township, Precinct 1",State House,50,REP,Robert J. Bezotte,738
Livingston,"Deerfield Township, Precinct 1",State House,50,,Cast Votes,1079
Livingston,"Deerfield Township, Precinct 1",State House,50,,Undervotes,49
Livingston,"Deerfield Township, Precinct 1",State House,50,,Overvotes,0
Livingston,"Deerfield Township, Precinct 1",State House,50,,Rejected,1
Livingston,"Deerfield Township, Precinct 1",State House,50,,Unassigned,0
Livingston,"Deerfield Township, Precinct 1",State House,50,,Absentee,417
Livingston,"Deerfield Township, Precinct 1",State House,50,,Election,712
Livingston,"Deerfield Township, Precinct 1",State House,50,,Total,1129
Livingston,"Deerfield Township, Precinct 2",State House,50,DEM,Glen Miller,287
